collect,time,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,alk,cl,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,collected,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,qual_code,mg/l,qual_code,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-05 00:00:00,1225.0,ww_77,9.7,9.5,7.56,0.173,0.53,1.3,0.11,46.1,872.0,68.0,10.0,,196.0,,288.0,,0.24,4.9,<5,0.005,<0.001,,<1.90,1.7,250.0,15.3,,0.03,0.087,,0.09,,,,<0.001,74.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,28.0,,0.436,,<0.2,,,0.005,0.008,,0.001,0.001,,<0.01,,<8.0,,,,,,
2012-11-05 00:00:00,1255.0,ww_78,9.1,8.5,7.75,11.436,0.85,1.95,2.23,87.84,722.0,<4,<4,,155.0,,152.0,,1.14,5.6,<5,<0.005,<0.001,,<1.90,9.1,820.0,1.1,,0.02,0.016,,0.28,,,,<0.001,59.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,21.0,,0.021,,<0.2,,,0.009,0.005,,0.001,0.001,,0.04,,<8.0,,,,,,
2012-11-05 00:00:00,1340.0,ww_19,10.1,8.8,7.73,12.885,0.11,<1,1.95,83.54,688.0,<4,<4,,166.0,,181.0,,0.84,5.2,<5,<0.005,<0.001,,<2.10,4.4,160.0,0.7,,0.03,0.033,,0.23,,,,<0.001,59.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,24.0,,0.014,,<0.2,,,0.006,0.006,,0.001,0.001,,0.03,,<8.0,,,,,,
2012-11-05 00:00:00,820.0,ww_109,9.5,7.8,6.52,14.396,0.11,<1,2.15,86.12,646.0,4.0,<4,,138.0,,174.0,,0.67,5.0,<5,<0.005,<0.001,,<1.70,5.7,290.0,0.7,,0.02,0.026,,0.24,,,,<0.001,64.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,26.0,,0.03,,<0.2,,,0.009,0.006,,0.001,0.001,,0.02,,<8.0,,,,,,
2012-11-05 00:00:00,850.0,ww_22,9.6,7.3,7.26,12.614,<0.1,<1,1.85,85.04,666.0,<4,<4,,158.0,,183.0,,0.68,5.2,<5,<0.005,<0.001,,<1.90,3.8,260.0,1.2,,0.03,0.033,,0.24,,,,<0.001,63.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,25.0,,0.021,,<0.2,,,0.007,0.007,,0.001,0.001,,0.02,,<8.0,,,,,,
2012-11-05 00:00:00,920.0,ww_23,9.7,10.3,7.6,10.97,<0.1,<1,1.95,88.31,672.0,6.0,<4,,161.0,,186.0,,0.66,4.9,<5,0.007,<0.001,,<1.80,6.7,70.0,0.6,,0.02,0.032,,0.24,,,,<0.001,64.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,27.0,,0.023,,<0.2,,,0.006,0.005,,0.001,0.001,,0.02,,<8.0,,,,,,
2012-11-05 00:00:00,1045.0,ww_91,10.0,9.7,8.0,9.776,<0.1,<1,1.56,79.32,664.0,4.0,<4,,166.0,,185.0,,0.6,4.6,<5,<0.005,<0.001,,<1.90,3.5,<10,2.0,,0.02,0.028,,0.2,,,,<0.001,62.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,25.0,,0.009,,<0.2,,,0.005,0.006,,0.001,0.001,,0.02,,<8.0,,,,,,
2012-11-05 00:00:00,940.0,ww_79,10.9,6.2,7.12,<0.15,0.14,<1,<0.1,62.68,796.0,6.0,<4,,165.0,,312.0,,0.25,5.7,<5,<0.005,<0.001,,<1.90,2.4,<10,6.7,,0.02,0.039,,0.09,,,,<0.001,58.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,23.0,,0.023,,<0.2,,,<0.005,0.006,,0.001,0.001,,0.01,,<8.0,,,,,,
2012-11-05 00:00:00,1000.0,ww_18,6.9,6.1,7.16,16.175,0.14,1.65,3.93,68.56,484.0,15.0,<4,,112.0,,153.0,,0.95,6.1,<5,0.005,<0.001,,<1.80,5.8,1100.0,3.0,,0.02,0.018,,0.28,,,,<0.001,53.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,20.0,,0.036,,<0.2,,,0.011,0.005,,0.001,0.001,,0.02,,<8.0,,,,,,
2012-11-05 00:00:00,1100.0,ww_110,2.8,6.7,7.21,0.172,0.5,1.73,0.14,70.27,862.0,5.0,<4,,209.0,,308.0,,0.37,9.7,<5,<0.005,<0.001,,<1.90,2.4,3900.0,1.9,,0.03,0.048,,0.07,,,,<0.001,76.0,,,<0.005,<6,,<0.005,,,0.4,,<0.02,27.0,,0.119,,<0.2,,,<0.005,0.007,,0.001,0.002,,0.01,,<8.0,,,,,,
2012-11-05 00:00:00,1140.0,ww_111,11.3,7.7,7.51,18.982,0.13,1.87,3.37,62.57,516.0,16.0,<4,,98.0,,117.0,,0.73,5.6,<5,<0.005,<0.001,,<1.60,6.4,2900.0,4.5,,<0.02,0.032,,0.19,,,,<0.001,51.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,18.0,,0.03,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.03,,<8.0,,,,,,
2012-11-05 00:00:00,1105.0,ww_92,6.3,8.9,8.13,6.663,0.39,1.31,1.61,77.13,484.0,7.0,<4,,130.0,,108.0,,0.59,4.1,<5,<0.005,<0.001,<5,,,250.0,1.6,,0.02,0.016,,0.15,,,,<0.001,48.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,17.0,,0.027,,<0.2,,,0.005,0.007,,0.001,0.001,,0.02,,,,,,,,
2012-11-13 00:00:00,930.0,ww_112,9.4,5.9,6.21,8.614,0.12,<1,1.2,51.38,556.0,10.0,<4,,141.0,,173.0,,0.79,4.6,<5,0.006,0.001,<5,<1.70,4.0,300.0,4.3,,0.02,0.028,,0.12,x,,,<0.001,50.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,20.0,,0.031,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,<8.0,,,,,,
2012-11-13 00:00:00,1000.0,ww_36,7.4,13.6,6.75,8.665,0.51,1.58,1.16,42.98,392.0,5.0,<4,,123.0,,91.0,,0.8,4.6,<5,0.005,0.0013,<5,<1.70,3.4,4800.0,6.0,,0.02,0.019,,0.15,,,,<0.001,46.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,16.0,,0.013,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.03,,,,,,,,
2012-11-13 00:00:00,1030.0,ww_96,8.5,6.6,6.88,5.505,<0.1,1.07,0.85,42.29,490.0,8.0,<4,,136.0,,159.0,,0.58,5.7,<5,0.012,0.0011,,<1.60,3.2,910.0,5.8,,0.02,0.027,,0.11,,,,<0.001,48.0,,,<0.005,<6,,0.005,,,0.1,,<0.02,19.0,,0.032,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,<8.0,,,,,,
2012-11-13 00:00:00,1105.0,ww_73,7.0,7.7,7.16,5.869,0.36,1.3,0.88,34.96,328.0,8.0,<4,,104.0,,82.0,,0.62,5.1,<5,<0.005,0.0011,<5,,,4700.0,1.2,,0.02,0.017,,0.12,,,,<0.001,39.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,13.0,,0.031,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,,,,,,,,
2012-11-13 00:00:00,1030.0,ww_92,6.2,9.0,7.2,8.616,0.42,1.46,1.27,96.25,560.0,5.0,<4,,143.0,,132.0,,0.79,4.5,<5,0.009,<0.001,<5,,,410.0,1.6,,0.02,0.017,,0.23,,,,<0.001,56.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,19.0,,0.034,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.03,,,,,,,,
2012-11-19 00:00:00,910.0,ww_100,8.3,12.2,6.85,6.036,0.32,<1,0.76,39.68,280.0,7.0,<4,,126.0,x,75.0,x,0.56,3.5,<5,0.008,<0.001,,<1.40,2.0,180.0,1.1,,<0.02,0.022,,0.1,,,,<0.001,45.0,,,<0.005,<6,,0.006,,,<0.1,,<0.02,16.0,,0.03,,<0.2,,,0.008,0.005,,0.001,0.001,,0.05,,<8.0,<2,<2,<2,<3,<3,<3
2012-11-19 00:00:00,945.0,ww_108,6.4,11.2,6.79,7.329,0.58,1.3,0.94,42.26,334.0,8.0,<4,,123.0,,95.0,,0.69,4.0,<5,0.007,0.0011,<5,,,200.0,2.0,,<0.02,0.019,,0.12,,,,<0.001,44.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,15.0,,0.023,,<0.2,,,0.005,0.005,,0.001,0.001,,0.02,,,<2,<2,<2,<3,<3,<3
2012-11-19 00:00:00,1010.0,ww_99,7.6,10.6,7.07,7.681,1.02,1.81,1.05,45.01,378.0,9.0,5.0,,129.0,,104.0,,0.75,4.2,<5,<0.005,<0.001,<5,,,130.0,28.4,,0.02,0.02,,0.14,,,,<0.001,48.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,17.0,,0.029,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.03,,,<2,<2,<2,<3,<3,<3
2012-11-19 00:00:00,850.0,ww_75,6.4,6.9,7.01,9.782,0.79,1.41,1.28,47.71,402.0,12.0,<4,,127.0,,113.0,,0.85,4.1,<5,<0.005,<0.001,<5,<1.40,3.7,110.0,3.6,,<0.02,0.019,,0.15,,,,<0.001,50.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,18.0,,0.038,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.02,,,<2,<2,<2,<3,<3,<3
2012-11-19 00:00:00,925.0,ww_41,6.6,12.1,7.16,11.382,0.34,1.19,1.09,70.13,506.0,7.0,<4,,124.0,,121.0,,0.88,4.8,<5,<0.005,<0.001,<5,<1.70,5.0,5400.0,2.3,,<0.02,0.016,,0.18,,,,<0.001,53.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,18.0,,0.019,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.03,,,<2,<2,<2,<3,<3,<3
2012-11-19 00:00:00,945.0,ww_92,5.3,15.8,7.01,8.734,0.26,<1,1.56,96.44,502.0,6.0,<4,,133.0,,116.0,,0.75,4.4,<5,<0.005,0.0016,<5,<1.60,2.9,60.0,3.3,,0.02,0.016,,0.17,,,,<0.001,53.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,18.0,,0.022,,<0.2,,,0.006,0.007,,0.001,0.001,,0.02,,,<2,<2,<2,<3,<3,<3
2012-11-19 00:00:00,1050.0,ww_48,5.9,11.0,6.89,10.61,0.49,1.48,2.32,92.66,522.0,8.0,<4,,140.0,,130.0,,0.88,5.2,<5,<0.005,<0.001,<5,,,940.0,2.2,,<0.02,0.023,,0.22,,,,<0.001,57.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,20.0,,0.081,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.04,,,<2,<2,<2,<3,<3,<3
2012-11-26 00:00:00,915.0,ww_86,0.0,4.3,7.41,<0.15,11.91,12.95,2.55,72.42,756.0,13.0,8.0,,410.0,,158.0,,0.78,11.9,44.0,0.007,0.0036,<5,,,170000.0,23.3,,0.06,0.056,,0.46,x,,,0.001,113.0,,,<0.005,<6,,<0.005,,,0.1,,<0.02,32.0,,0.356,,<0.2,,,<0.005,<0.005,,0.002,0.003,,<0.01,,,5.0,5.6,4.1,<3,<3,<3
